"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"237","Scott Laughton","PHI, TOR","C","240","289.05","6","8","4","4","14","63.64","42","14.29","6.78","81","66","40","27","0","6","4","2","2","0","0","3","5","1","7","8","1","100","102","49.50"
"394","Jake Walman","DET, EDM, S.J","D","191","256.9","1","13","6","7","14","60.87","35","2.86","4.23","90","58","26","5","2","10","10","5","5","0","0","0","4","6","1","3","1","0","0","-"
"722","Jesperi Kotkaniemi","CAR","C","239","347.68333333333","4","10","5","5","14","46.67","56","7.14","8.64","117","79","68","34","0","8","6","3","3","0","0","1","17","0","6","13","0","60","67","47.24"
"763","Jonatan Berggren","DET","R","154","180.61666666667","8","6","5","1","14","70.00","24","33.33","3.81","47","37","21","6","0","3","2","1","1","0","0","0","3","2","0","9","1","2","0","100.00"
"826","Alex Vlasic","CHI","D","164","172.43333333333","1","13","5","8","14","66.67","23","4.35","1.51","34","28","9","2","1","3","0","0","0","0","0","0","4","2","2","2","2","0","0","-"
"849","Alex Newhook","COL, MTL","C","219","412.35","4","10","3","7","14","35.90","57","7.02","9.18","100","82","76","32","1","11","6","3","3","0","0","0","10","3","1","18","3","72","81","47.06"
"882","Dylan Holloway","EDM, STL","L","166","167.45","7","7","3","4","14","70.00","35","20.00","4.83","59","53","33","12","0","6","2","1","1","0","0","0","5","1","5","10","0","12","21","36.36"
"888","Ridly Greig","OTT","C","170","227.75","5","9","6","3","14","58.33","35","14.29","7.04","58","49","49","31","0","11","6","3","3","0","0","1","4","0","5","18","0","22","24","47.83"
"897","Alexis Lafrenière","NYR","L","245","345.18333333333","7","7","4","3","14","45.16","63","11.11","9.17","104","91","58","32","1","8","8","4","4","0","0","0","14","3","1","17","1","7","3","70.00"
"1045","Shane Wright","SEA","C","95","171.93333333333","7","7","4","3","14","58.33","22","31.82","5.55","49","38","35","20","0","5","0","0","0","0","0","1","8","1","1","2","0","34","32","51.52"
"3","Jeff Carter","PIT","C","151","243.56666666667","8","5","3","2","13","56.52","46","17.39","8.23","82","64","54","35","1","12","6","3","3","0","0","0","6","2","5","7","1","90","43","67.67"
"169","Brendan Gallagher","MTL","R","196","312.71666666667","6","7","3","4","13","72.22","38","15.79","8.91","84","63","60","37","1","13","6","3","3","0","0","0","10","1","1","10","0","6","9","40.00"
"286","Nate Schmidt","FLA, WPG","D","214","312.03333333333","4","9","6","3","13","52.00","29","13.79","2.82","75","46","23","5","1","8","0","0","0","0","0","2","11","7","1","3","0","0","0","-"
"344","Ryan Pulock","NYI","D","214","228.55","4","9","5","4","13","72.22","41","9.76","2.36","80","51","18","0","0","5","0","0","0","0","0","0","10","4","2","3","3","0","0","-"
"383","Ivan Barbashev","STL, VGK","C","234","375.83333333333","7","6","4","2","13","32.50","45","15.56","8.78","80","69","68","45","0","3","4","2","2","0","0","2","8","3","5","9","1","12","15","44.44"
"707","Joel Farabee","CGY, PHI","L","245","464.98333333333","2","11","3","8","13","38.24","56","3.57","8.62","88","69","55","31","1","11","8","4","4","0","0","0","14","1","2","22","2","14","20","41.18"
"881","Connor Zary","CGY","C","117","253.98333333333","2","11","4","7","13","61.90","37","5.41","5.2","72","52","40","20","0","7","2","1","1","0","0","2","8","2","3","10","0","14","24","36.84"
"976","Brandt Clarke","L.A","D","103","167.35","2","11","6","5","13","61.90","24","8.33","2.01","49","30","18","1","0","5","2","1","1","0","0","0","5","5","1","3","9","0","0","-"
"14","David Krejci","BOS","C","70","185.56666666667","4","8","3","5","12","48.00","34","11.76","3.88","58","40","26","10","0","7","2","1","1","0","0","0","5","1","1","7","2","29","25","53.70"
"40","Jonathan Toews","CHI","C","53","151.83333333333","9","3","3","0","12","57.14","28","32.14","4.82","38","37","31","22","0","0","0","0","0","0","0","0","8","2","0","3","0","127","48","72.57"
"59","Max Pacioretty","CAR, TOR, WSH","L","89","158.23333333333","3","9","5","4","12","60.00","36","8.33","6.51","70","53","43","24","1","9","2","1","1","0","0","0","8","0","3","8","0","1","2","33.33"
"171","John Klingberg","ANA, EDM, MIN, TOR","D","92","218.21666666667","2","10","5","5","12","50.00","42","4.76","2.92","98","63","27","0","0","4","0","0","0","0","0","1","7","4","0","7","2","0","0","-"
"176","Ondrej Palat","N.J","L","197","235.98333333333","4","8","5","3","12","63.16","30","13.33","5.17","50","39","38","21","0","3","2","1","1","0","0","0","12","2","6","9","0","0","2","0.00"
"197","Brandon Saad","STL, VGK","L","225","322.21666666667","7","5","2","3","12","42.86","42","16.67","5.81","74","56","60","25","1","3","2","1","1","0","0","0","6","3","3","9","1","2","4","33.33"
