"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"513","Noah Dobson","MTL","D","80","1798.7333333333","12","35","18","17","47","49.47","158","7.59","9.59","357","249","83","17","7","31","34","17","17","0","0","15","95","36","62","180","188","0","0","-"
"674","JJ Peterka","UTA","R","82","1310.7166666667","25","22","11","11","47","71.21","160","15.63","16.52","338","241","156","62","11","24","28","14","14","0","0","13","87","19","16","83","19","8","16","33.33"
"388","Jordan Kyrou","STL","R","72","1132.6166666667","18","28","15","13","46","74.19","173","10.40","18.93","359","253","196","65","3","37","8","4","4","0","0","9","53","22","14","54","28","3","13","18.75"
"585","Connor McMichael","WSH","C, L","78","1318.6833333333","14","32","22","10","46","63.89","142","9.86","22.85","250","201","156","87","10","24","30","15","15","0","0","9","56","29","45","54","45","265","353","42.88"
"592","Shane Pinto","OTT","C","72","1347.25","23","23","16","7","46","63.89","157","14.65","25.87","311","250","200","103","8","33","42","21","21","0","0","20","53","25","94","74","50","396","368","51.83"
"684","Bobby McMann","SEA, TOR","C","78","1242.65","29","17","11","6","46","68.66","183","15.85","21.6","331","265","173","71","10","22","32","13","11","2","0","10","44","18","165","54","27","7","8","46.67"
"916","Collin Graf","S.J","R","81","1331.8666666667","21","25","14","11","46","77.97","119","17.65","19.13","216","167","152","95","5","25","12","6","6","0","0","13","55","34","88","44","48","7","17","29.17"
"44","Matt Duchene","DAL","C","57","941.05","16","29","21","8","45","61.64","89","17.98","15.28","176","133","111","61","6","17","8","4","4","0","0","8","61","11","29","45","23","266","244","52.16"
"74","Jason Zucker","BUF","L","62","968.56666666667","24","21","11","10","45","62.50","128","18.75","22.13","226","192","165","114","5","20","23","10","9","1","0","14","65","8","57","48","21","48","76","38.71"
"359","Mason Marchment","CBJ, SEA","L","68","1181.2833333333","19","26","13","13","45","66.18","119","15.97","17.6","263","195","150","66","5","21","56","24","23","0","1","18","86","29","84","97","28","15","27","35.71"
"711","Matt Coronato","CGY","R","80","1331.4666666667","18","27","15","12","45","70.31","198","9.09","23.4","409","289","218","90","7","37","32","16","16","0","0","15","56","19","23","60","23","70","106","39.77"
"865","Ryan Leonard","WSH","R","75","1081.0166666667","20","25","18","7","45","65.22","153","13.07","15.84","327","240","168","58","2","37","47","21","20","1","0","32","72","14","124","93","25","6","5","54.55"
"302","Vince Dunn","SEA","D","81","1754.65","11","33","18","15","44","48.35","179","6.15","9.14","380","243","101","15","7","27","54","27","27","0","0","17","88","29","27","79","86","0","0","-"
"305","Timo Meier","N.J","R","77","1425.75","24","20","12","8","44","61.97","269","8.92","38.04","545","429","294","140","9","74","22","11","11","0","0","15","81","27","131","99","53","57","68","45.60"
"318","Roope Hintz","DAL","C","53","919.1","15","29","18","11","44","51.76","126","11.90","20.62","205","175","155","94","6","27","18","9","9","0","0","13","41","5","60","40","18","430","297","59.15"
"329","Lawson Crouse","UTA","L","81","1344.35","24","20","14","6","44","58.67","140","17.14","23.84","284","227","186","105","11","26","46","16","13","2","1","12","51","15","212","44","52","28","53","34.57"
"648","Anton Lundell","FLA","C","64","1225.7333333333","18","26","12","14","44","58.67","138","13.04","19.7","281","219","162","77","4","24","34","16","16","0","0","22","64","14","75","58","35","580","540","51.79"
"664","Alex Laferriere","L.A","R","82","1501.45","21","23","12","11","44","69.84","209","10.05","27.78","456","341","272","130","11","43","18","9","9","0","0","16","85","22","255","105","49","198","270","42.31"
"716","Logan Stankoven","CAR","C","81","1251.4666666667","21","23","10","13","44","58.67","166","12.65","26.56","315","254","225","105","8","40","25","10","9","1","0","17","46","28","50","117","22","411","512","44.53"
"23","Mikael Backlund","CGY","C","82","1471.7833333333","17","26","23","3","43","67.19","186","9.14","20.4","349","272","143","80","6","28","16","8","8","0","0","7","86","32","23","50","28","721","720","50.03"
"182","Connor Brown","N.J","R","75","1316.3166666667","18","25","14","11","43","61.43","116","15.52","20.44","218","190","148","84","6","20","22","7","6","0","1","8","59","21","25","63","37","8","18","30.77"
"205","Andrew Copp","DET","C","79","1309.2833333333","9","34","18","16","43","61.43","115","7.83","22.62","219","185","151","99","5","29","24","12","12","0","0","13","75","22","45","60","64","533","457","53.84"
"211","Ryan Hartman","MIN","R","76","1272.6","23","20","14","6","43","62.32","167","13.77","25.04","354","276","206","99","5","43","48","21","19","2","0","32","66","23","64","72","95","492","593","45.35"
"448","Morgan Frost","CGY","C","82","1270.5","22","21","12","9","43","58.11","140","15.71","20.24","265","208","174","88","2","28","28","14","14","0","0","14","48","20","59","35","39","600","458","56.71"
"769","Logan Cooley","UTA","C","54","935.7","24","19","11","8","43","61.43","102","23.53","15.2","181","158","113","73","4","16","28","14","14","0","0","16","66","24","54","70","27","273","343","44.32"
"850","Zach Benson","BUF","L","65","1032.7","13","30","17","13","43","59.72","116","11.21","19.19","193","162","135","93","5","15","42","17","16","0","1","22","46","25","40","86","22","7","8","46.67"
"63","Anders Lee","NYI","L","82","1282.3","19","23","16","7","42","56.76","201","9.45","38.82","368","316","266","185","6","73","44","16","12","4","0","20","60","10","91","71","37","65","56","53.72"
"312","Tommy Novak","PIT","C","82","1171.0666666667","16","26","17","9","42","61.76","130","12.31","17.34","245","200","173","82","5","16","24","11","11","0","0","7","54","28","12","145","34","216","288","42.86"
"333","Jake DeBrusk","VAN","L","81","1366.0166666667","23","19","10","9","42","56.76","219","10.50","34.96","373","321","262","172","7","52","12","6","6","0","0","8","44","11","66","60","34","14","19","42.42"
"435","Casey Mittelstadt","BOS","C","71","1076.5333333333","15","27","15","12","42","57.53","79","18.99","11.93","161","135","102","49","3","9","12","6","6","0","0","13","74","12","23","63","21","91","95","48.92"
