"","Player","Player 2","Team","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"97","Sean Walker","Alexander Nikishin","CAR","80","34.05","12","48","20.00","11","38","22.45","8","28","22.22","2","4","33.33","0.96","4.17","18.73","7","26","21.21","3","10","23.08","0","1","0.00","4","16","20.00","1","2","33.33","6","38","13.64","1","1","50.00","25.00","85.71","1.107","1","3","17","20","5.56","3","4","27","10.00"
"98","Troy Stecher","Simon Benoit","TOR","50","34","6","68","8.11","5","55","8.33","4","41","8.89","0","2","0.00","0.21","5.96","3.42","2","44","4.35","0","18","0.00","0","1","0.00","2","26","7.14","0","1","0.00","4","29","12.12","0","0","-","0.00","95.12","0.951","2","2","10","29","16.67","3","3","13","18.75"
"99","Tyler Kleven","Nikolas Matinpalo","OTT","38","33.7","6","57","9.52","6","49","10.91","4","32","11.11","2","2","50.00","0.76","5.17","12.83","6","34","15.00","3","10","23.08","1","1","50.00","3","24","11.11","1","1","50.00","0","33","0.00","0","0","-","50.00","93.75","1.438","0","2","7","29","0.00","0","6","22","0.00"
"100","Zach Werenski","Dante Fabbro","CBJ","68","33.316666666667","14","58","19.44","12","47","20.34","12","30","28.57","0","4","0.00","0.73","5.17","12.39","7","35","16.67","1","17","5.56","0","3","0.00","6","18","25.00","0","1","0.00","5","34","12.82","0","0","-","0.00","86.67","0.867","1","2","12","25","7.69","2","3","14","12.50"
"101","Brett Kulak","Ty Emberson","EDM","26","32.816666666667","6","63","8.70","6","41","12.77","4","25","13.79","0","3","0.00","0.24","4.33","5.24","1","44","2.22","1","12","7.69","0","1","0.00","0","32","0.00","0","2","0.00","3","32","8.57","0","0","-","0.00","88.00","0.880","0","5","21","23","0.00","0","5","24","0.00"
"102","Roman Josi","Nicolas Hague","NSH","50","32.55","12","35","25.53","11","25","30.56","9","19","32.14","1","1","50.00","0.81","2.93","21.70","5","20","20.00","1","9","10.00","0","0","-","4","11","26.67","1","0","100.00","1","22","4.35","0","1","0.00","11.11","94.74","1.058","0","2","9","24","0.00","1","6","15","6.25"
"103","Brenden Dillon","Johnathan Kovacevic","N.J","34","31.783333333333","9","57","13.64","9","40","18.37","7","26","21.21","1","5","16.67","0.69","4.9","12.33","6","36","14.29","4","17","19.05","1","2","33.33","2","19","9.52","0","3","0.00","2","30","6.25","0","0","-","14.29","80.77","0.951","1","3","22","8","4.35","2","6","31","6.06"
"104","Thomas Chabot","Tyler Kleven","OTT","50","31.4","10","37","21.28","9","30","23.08","7","23","23.33","0","4","0.00","0.86","3.89","18.18","7","28","20.00","5","14","26.32","0","2","0.00","2","14","12.50","0","1","0.00","3","16","15.79","0","1","0.00","0.00","82.61","0.826","0","3","11","18","0.00","3","6","19","13.64"
"105","Hampus Lindholm","Nikita Zadorov","BOS","66","30.85","7","47","12.96","5","35","12.50","5","25","16.67","0","4","0.00","0.65","3.76","14.72","4","27","12.90","3","8","27.27","0","2","0.00","1","19","5.00","0","1","0.00","4","41","8.89","0","1","0.00","0.00","84.00","0.840","0","3","24","29","0.00","2","4","34","5.56"
"106","Drew Helleson","Pavel Mintyukov","ANA","51","30.316666666667","8","39","17.02","7","31","18.42","5","20","20.00","2","4","33.33","0.36","2.7","11.88","5","21","19.23","2","7","22.22","2","1","66.67","3","14","17.65","0","2","0.00","1","26","3.70","0","1","0.00","40.00","80.00","1.200","0","1","12","14","0.00","0","4","16","0.00"
"107","Brady Skjei","Nick Blankenburg","NSH","49","30.016666666667","3","35","7.89","3","27","10.00","3","16","15.79","0","0","-","0.04","3.11","1.18","0","26","0.00","0","16","0.00","0","0","-","0","10","0.00","0","0","-","1","20","4.76","0","0","-","0.00","100.00","1.000","0","5","7","12","0.00","1","9","18","5.26"
"108","MacKenzie Weegar","Joel Hanley","CGY","57","29.933333333333","11","58","15.94","10","44","18.52","9","33","21.43","1","7","12.50","0.66","4.46","12.97","6","35","14.63","3","18","14.29","0","5","0.00","3","17","15.00","1","2","33.33","4","27","12.90","0","0","-","11.11","78.79","0.899","0","1","11","29","0.00","2","4","12","14.29"
"109","Gustav Forsling","Niko Mikkola","FLA","67","29.933333333333","11","33","25.00","10","28","26.32","8","21","27.59","2","3","40.00","1.2","3.06","28.22","9","25","26.47","6","13","31.58","2","3","40.00","3","12","20.00","0","0","-","4","11","26.67","0","0","-","25.00","85.71","1.107","0","3","6","12","0.00","2","6","20","9.09"
"110","Darnell Nurse","Jake Walman","EDM","53","29.716666666667","4","57","6.56","4","48","7.69","2","32","5.88","1","7","12.50","0.25","6.07","3.96","4","36","10.00","0","19","0.00","0","3","0.00","4","17","19.05","1","2","33.33","0","28","0.00","0","2","0.00","50.00","78.13","1.281","0","3","13","27","0.00","0","6","17","0.00"
"111","Ryan McDonagh","Janis Moser","T.B","46","29.666666666667","5","41","10.87","5","34","12.82","3","23","11.54","1","4","20.00","0.62","3.4","15.35","2","23","8.00","1","11","8.33","0","2","0.00","1","12","7.69","0","1","0.00","1","29","3.33","0","1","0.00","33.33","82.61","1.159","0","2","15","21","0.00","0","5","27","0.00"
"112","Jalen Chatfield","K'Andre Miller","CAR","64","29.35","15","38","28.30","15","28","34.88","14","16","46.67","3","3","50.00","1.9","3.42","35.67","12","30","28.57","10","12","45.45","3","2","60.00","2","18","10.00","0","1","0.00","2","19","9.52","0","0","-","21.43","81.25","1.027","0","2","18","23","0.00","0","5","24","0.00"
"113","Shea Theodore","Jeremy Lauzon","VGK","56","28.233333333333","6","43","12.24","5","26","16.13","3","17","15.00","1","3","25.00","0.69","2.51","21.64","5","21","19.23","2","9","18.18","0","0","-","3","12","20.00","1","1","50.00","0","33","0.00","0","2","0.00","33.33","82.35","1.157","0","5","19","21","0.00","1","7","28","3.45"
"114","Brandon Carlo","Simon Benoit","TOR","50","27.833333333333","5","46","9.80","5","31","13.89","3","21","12.50","1","1","50.00","0.41","3.43","10.63","2","23","8.00","1","9","10.00","0","1","0.00","1","14","6.67","1","0","100.00","1","31","3.13","0","0","-","33.33","95.24","1.286","0","2","18","16","0.00","0","4","25","0.00"
"115","Andrew Peeke","Jonathan Aspirot","BOS","56","27.116666666667","7","48","12.73","5","40","11.11","4","26","13.33","1","5","16.67","0.51","4.67","9.79","4","28","12.50","3","15","16.67","1","3","25.00","1","13","7.14","0","1","0.00","2","22","8.33","0","1","0.00","25.00","80.77","1.058","0","0","4","22","0.00","0","1","6","0.00"
"116","Ben Chiarot","Moritz Seider","DET","82","27.016666666667","2","63","3.08","2","41","4.65","1","29","3.33","0","3","0.00","0.13","3.96","3.10","1","29","3.33","1","10","9.09","0","0","-","0","19","0.00","0","1","0.00","1","49","2.00","0","2","0.00","0.00","89.66","0.897","0","1","21","15","0.00","0","2","29","0.00"
"117","Jacob Bernard-Docker","Albert Johansson","DET","63","25.9","4","41","8.89","3","35","7.89","2","23","8.00","0","5","0.00","0.25","3.89","5.99","2","21","8.70","0","12","0.00","0","3","0.00","2","9","18.18","0","1","0.00","2","31","6.06","0","1","0.00","0.00","78.26","0.783","0","2","17","15","0.00","3","3","24","11.11"
"118","Scott Mayfield","Carson Soucy","NYI","30","25.616666666667","4","33","10.81","3","26","10.34","2","18","10.00","0","1","0.00","0.29","3.08","8.55","1","19","5.00","1","8","11.11","0","0","-","0","11","0.00","0","1","0.00","3","19","13.64","0","0","-","0.00","94.44","0.944","0","2","7","10","0.00","1","6","11","8.33"
"119","Parker Wotherspoon","Ryan Shea","PIT","78","25.466666666667","11","42","20.75","11","33","25.00","8","19","29.63","1","4","20.00","1.16","3.05","27.54","6","27","18.18","0","6","0.00","0","1","0.00","6","21","22.22","1","1","50.00","2","28","6.67","0","2","0.00","12.50","78.95","0.914","1","5","17","19","5.56","1","7","26","3.70"
"120","Darren Raddysh","Janis Moser","T.B","70","25.45","10","34","22.73","8","22","26.67","7","14","33.33","0","1","0.00","0.54","2.7","16.71","4","18","18.18","0","6","0.00","0","1","0.00","4","12","25.00","0","0","-","7","27","20.59","0","0","-","0.00","92.86","0.929","2","5","12","24","14.29","4","7","17","19.05"
"121","Brady Skjei","Nicolas Hague","NSH","62","25.016666666667","3","35","7.89","3","29","9.38","3","27","10.00","0","3","0.00","0.23","4","5.45","2","24","7.69","0","14","0.00","0","2","0.00","2","10","16.67","0","1","0.00","1","20","4.76","0","0","-","0.00","88.89","0.889","0","2","13","20","0.00","0","5","25","0.00"
"122","Rasmus Dahlin","Owen Power","BUF","76","24.933333333333","4","38","9.52","3","26","10.34","2","18","10.00","0","2","0.00","0.11","2.46","4.37","1","18","5.26","0","5","0.00","0","1","0.00","1","13","7.14","0","1","0.00","1","24","4.00","0","0","-","0.00","88.89","0.889","0","1","6","35","0.00","0","3","9","0.00"
"123","Brent Burns","Devon Toews","COL","68","24.833333333333","6","45","11.76","6","35","14.63","6","24","20.00","0","2","0.00","0.07","3.99","1.76","1","27","3.57","0","11","0.00","0","0","-","1","16","5.88","0","0","-","0","32","0.00","0","2","0.00","0.00","91.67","0.917","0","3","13","40","0.00","0","5","25","0.00"
"124","Justin Faulk","Cam Fowler","STL","61","24.616666666667","8","48","14.29","7","33","17.50","5","16","23.81","1","4","20.00","0.64","3.38","16.00","5","25","16.67","2","10","16.67","1","2","33.33","3","15","16.67","0","2","0.00","4","29","12.12","0","0","-","20.00","75.00","0.950","1","3","11","12","8.33","2","7","13","13.33"
"125","Vladislav Gavrikov","Matthew Robertson","NYR","72","24.45","4","50","7.41","4","34","10.53","3","25","10.71","0","3","0.00","0.37","4.67","7.43","3","31","8.82","3","12","20.00","0","2","0.00","0","19","0.00","0","1","0.00","0","28","0.00","0","0","-","0.00","88.00","0.880","1","2","12","28","7.69","1","2","15","6.25"
"126","Dmitry Orlov","Timothy Liljegren","S.J","43","24.266666666667","4","62","6.06","4","48","7.69","3","31","8.82","0","4","0.00","0.38","5.57","6.40","3","40","6.98","2","20","9.09","0","2","0.00","1","20","4.76","0","2","0.00","1","35","2.78","0","0","-","0.00","87.10","0.871","0","1","11","16","0.00","0","1","21","0.00"
"127","Jamie Oleksiak","Ryan Lindgren","SEA","72","23.483333333333","4","47","7.84","3","29","9.38","2","20","9.09","0","5","0.00","0.03","3.13","0.89","0","23","0.00","0","10","0.00","0","2","0.00","0","13","0.00","0","3","0.00","3","37","7.50","0","0","-","0.00","75.00","0.750","0","0","19","24","0.00","1","0","30","3.23"
"128","Jake McCabe","Simon Benoit","TOR","71","23.4","4","34","10.53","4","26","13.33","4","17","19.05","0","1","0.00","0.4","2.78","12.53","4","18","18.18","0","9","0.00","0","0","-","4","9","30.77","0","0","-","1","25","3.85","0","1","0.00","0.00","94.12","0.941","0","1","15","22","0.00","1","3","21","4.55"
"129","Nick Jensen","Thomas Chabot","OTT","46","23.266666666667","9","30","23.08","8","25","24.24","8","20","28.57","1","5","16.67","0.67","2.83","19.24","7","20","25.93","3","9","25.00","1","3","25.00","4","11","26.67","0","2","0.00","0","12","0.00","0","0","-","12.50","75.00","0.875","0","3","8","17","0.00","0","3","8","0.00"
"130","Olli Maatta","Zach Whitecloud","CGY","18","22.966666666667","5","42","10.64","4","32","11.11","2","22","8.33","0","2","0.00","0.33","4.93","6.19","2","29","6.45","1","13","7.14","0","2","0.00","1","16","5.88","0","0","-","4","24","14.29","0","0","-","0.00","90.91","0.909","0","2","9","14","0.00","2","3","21","8.70"
"131","Mario Ferraro","Shakir Mukhamadullin","S.J","50","22.966666666667","2","54","3.57","1","40","2.44","1","21","4.55","0","2","0.00","0.04","3.56","1.10","1","30","3.23","0","16","0.00","0","2","0.00","1","14","6.67","0","0","-","1","34","2.86","0","0","-","0.00","90.48","0.905","0","0","12","1","0.00","0","3","20","0.00"
"132","Christopher Tanev","Jake McCabe","TOR","11","22.933333333333","1","43","2.27","1","37","2.63","1","28","3.45","0","2","0.00","0.04","5.41","0.81","1","31","3.13","0","14","0.00","0","1","0.00","1","17","5.56","0","1","0.00","1","26","3.70","0","0","-","0.00","92.86","0.929","0","0","26","8","0.00","1","2","28","3.45"
"133","Philippe Myers","Simon Benoit","TOR","31","22.916666666667","7","44","13.73","6","36","14.29","4","29","12.12","0","4","0.00","0.32","4.19","7.10","3","24","11.11","1","15","6.25","0","1","0.00","2","9","18.18","0","1","0.00","3","27","10.00","0","2","0.00","0.00","86.21","0.862","1","1","10","19","9.09","1","2","14","6.67"
"134","Scott Mayfield","Adam Pelech","NYI","80","22.783333333333","7","23","23.33","7","20","25.93","6","15","28.57","1","1","50.00","0.45","1.86","19.48","5","14","26.32","2","6","25.00","1","0","100.00","3","8","27.27","0","0","-","0","17","0.00","0","1","0.00","16.67","93.33","1.100","0","0","12","46","0.00","0","3","19","0.00"
